pfct_sn,pfct_nm,addr,instl_ymd,instl_place_cd_nm,prvt_pblc_yn_cd_nm,idrodr_cd_nm,incld_water,updated_date
4829,신창5차호반베르디움아파트 505동옆놀이시설,"광주광역시 광산구 왕버들로251번길 27 (신창동, 신창5차호반베르디움)",2005-11-08,주택단지,민간,실외,미포함,2024-02-16
4831,신가1차중흥파크맨션아파트 102동옆놀이시설,"광주광역시 광산구 목련로382번길 113 (신창동, 중흥아파트)",1995-01-01,주택단지,민간,실외,미포함,2024-02-16
4832,수완현진에버빌2단지-3 (203동앞),"광주광역시 광산구 풍영로169번길 46 (장덕동, 광주 수완 현진에버빌 2단지)",2009-01-01,주택단지,민간,실외,미포함,2024-02-16
4834,다정한 어린이공원 놀이터,광주광역시 광산구 신촌동 884-1,1988-08-23,주택단지,민간,실외,미포함,2024-02-16
4836,산정중앙 어린이공원 놀이터,광주광역시 광산구 산정동 969-1,1990-06-30,도시공원,공공,실외,미포함,2024-02-16
4837,다모아 어린이공원 놀이터,광주광역시 광산구 월곡동 520-1,1990-06-30,도시공원,공공,실외,미포함,2024-02-16
4838,햇살 어린이공원 놀이터,광주광역시 광산구 월곡동 503,1990-06-30,도시공원,공공,실외,미포함,2024-02-16
4839,월곡하늘 어린이공원 놀이터,광주광역시 광산구 월곡동 608-1,1990-06-30,식품접객업소,민간,실내,미포함,2024-02-16
4840,월곡솔밭 어린이공원 어린이공원,광주광역시광산구 월곡동 575-10,1990-06-30,도시공원,공공,실외,미포함,2024-02-16
4842,웃음꽃 어린이공원 놀이터,광주광역시 광산구 운남동 769-7,1997-05-19,도시공원,공공,실외,미포함,2024-02-16
4844,월봉 어린이공원 놀이터,광주광역시 광산구 산월동 886-3,2004-12-23,도시공원,공공,실외,미포함,2024-02-16
4848,빛고을어린이집 놀이터,광주광역시 광산구 사암로158번길 24-13 (우산동),1993-01-14,도시공원,공공,실외,미포함,2024-02-16
4849,아이세상어린이집놀이터,광주광역시 광산구 산정공원로 99-5 (산정동),2003-12-01,도시공원,공공,실외,미포함,2024-02-16
4851,운남어린이집 놀이시설,광주광역시 광산구 목련로253번길 86 (운남동),2010-02-26,어린이집,민간,실외,미포함,2024-02-16
4853,연세어린이집 놀이터,광주광역시 광산구 수등로258번길 82 (신창동),2004-12-01,주택단지,공공,실외,미포함,2024-02-16
4855,수완생태어린이집 놀이터,광주광역시 광산구 상완길 115-47 (수완동),1997-01-01,주택단지,민간,실외,미포함,2024-02-16
4856,아이원어린이집 놀이터,광주광역시 광산구 신창로36번길 32 (신창동),2006-02-28,도시공원,공공,실외,미포함,2024-02-16
6035,운림 남해오네뜨빌 어린이놀이시설,광주광역시 동구 운림길 27 (운림동),2006-03-27,놀이제공영업소,민간,실내,미포함,2024-02-16
6037,학1마을아파트 104동옆놀이시설(어린이놀이터1),"광주광역시 동구 남문로 734 (학동, 학1마을)",2007-07-24,도시공원,공공,실외,미포함,2024-02-16
6038,학동평화맨션 어린이놀이시설1(유치원앞),광주광역시 동구 학소로 125 (학동),1984-06-28,주택단지,민간,실외,미포함,2024-02-16
6045,봉선어린이집 놀이터,광주광역시 남구 봉선중앙로 35 (봉선동),2007-04-30,주택단지,민간,실외,미포함,2024-02-16
6047,신기한나라어린이집 놀이터,광주광역시 남구 회재로 1140-9 (주월동),2003-03-06,주택단지,민간,실외,미포함,2024-02-16
6048,엔젤어린이집 놀이터,광주광역시 남구 독립로54번길 30 (백운동),2008-09-01,주택단지,민간,실외,미포함,2024-02-16
6051,송정대덕9차아파트 어린이놀이시설,"광주광역시 광산구 송정로65번길 28 (송정동, 송정동 대덕9차 아파트)",1995-07-22,주택단지,민간,실외,미포함,2024-02-16
6053,송정라인1차아파트 놀이터,"광주광역시 광산구 용보로27번길 46 (송정동, 송정동라인1차아파트)",1997-01-01,주택단지,민간,실외,포함,2024-02-16
6055,도산호반1차아파트 놀이시설,"광주광역시 광산구 도산로9번길 35 (도산동, 도산동 호반아파트)",2014-04-22,주택단지,민간,실외,미포함,2024-02-16
6056,카이스트1차아파트 놀이시설,"광주광역시 광산구 송도로182번길 15-11 (도산동, 카이스트빌)",2000-07-01,아동복지시설,공공,실외,미포함,2024-02-16
6057,신촌명지1차아파트 놀이시설,"광주광역시 광산구 송도로320번길 11 (신촌동, 신촌동명지아파트)",2002-02-01,도시공원,공공,실외,미포함,2024-02-16
6059,소촌동 EG스위트밸리3차,"광주광역시 광산구 소촌로152번길 11 (소촌동, 스위트밸리3차아파트)",2002-09-13,도시공원,공공,실외,미포함,2024-02-16
6060,소촌모아2차 드림타운,"광주광역시 광산구 소촌로86번길 20-5 (소촌동, 모아드림2차아파트)",2001-12-01,주택단지,민간,실외,미포함,2024-02-16
6061,송광파크맨션,"광주광역시 광산구 어등대로647번길 32 (소촌동, 송광파크맨션)",1995-05-01,주택단지,민간,실외,미포함,2024-02-16
6063,소촌서라1차아파트 관리동옆놀이터,"광주광역시 광산구 어등대로665번길 27 (소촌동, 소촌동 서라아파트)",2014-01-06,주택단지,민간,실외,미포함,2024-02-16
6064,우산제일파크-1,"광주광역시 광산구 월곡산정로 20 (우산동, 하남제일파크맨션)",1992-03-11,주택단지,민간,실외,미포함,2024-02-16
6066,동산아파트,"광주광역시 광산구 월곡산정로 20-49 (우산동, 동산아파트)",1991-12-01,주택단지,민간,실외,미포함,2024-02-16
6068,영천마을 주공9단지-1,"광주광역시 광산구 풍영로 63 (월곡동, 영천마을 주공아파트)",2003-05-16,주상복합,민간,실외,미포함,2024-02-16
6069,영천마을 주공9단지-2,"광주광역시 광산구 풍영로 63 (월곡동, 영천마을 주공아파트)",2003-05-16,주택단지,민간,실외,미포함,2024-02-16
6070,영천마을 주공9단지-4,"광주광역시 광산구 풍영로 63 (월곡동, 영천마을 주공아파트)",2003-05-16,도시공원,공공,실외,미포함,2024-02-16
6071,영천마을 주공9단지-7,"광주광역시 광산구 풍영로 63 (월곡동, 영천마을 주공아파트)",2003-05-16,주택단지,민간,실외,미포함,2024-02-16
6072,첨단성원,"광주광역시 광산구 첨단중앙로181번길 92 (월계동, 성원아파트)",1997-01-04,주택단지,민간,실외,포함,2024-02-16
6074,첨단일신,"광주광역시 광산구 첨단중앙로181번길 42-14 (월계동, 일신아파트)",1995-12-27,주택단지,민간,실외,미포함,2024-02-16
6075,첨단대주,"광주광역시 광산구 첨단중앙로 153 (월계동, 첨단단지대주APT)",2002-01-01,주택단지,민간,실외,미포함,2024-02-16
6076,기산아파트 106동옆놀이터,"광주광역시 광산구 임방울대로 727-6 (월계동, 기산아파트)",2012-02-01,주택단지,민간,실외,미포함,2024-02-16
6077,첨단우미1차,"광주광역시 광산구 첨단중앙로181번길 65 (월계동, 첨단지구 우미아파트)",1995-11-25,주택단지,민간,실내,미포함,2024-02-16
6078,첨단삼능,"광주광역시 광산구 임방울대로 727-19 (월계동, 첨단삼능아파트)",1996-09-06,주택단지,민간,실외,미포함,2024-02-16
6079,첨단호반2차아파트 207동옆놀이터,"광주광역시 광산구 월계로 59 (월계동, 첨단 호반2차아파트)",2012-01-20,주택단지,민간,실외,미포함,2024-02-16
6080,첨단호반2차아파트 215동옆놀이터,"광주광역시 광산구 월계로 59 (월계동, 첨단 호반2차아파트)",2012-01-20,주택단지,민간,실외,포함,2024-02-16
6081,첨단서라아파트 놀이터,"광주광역시 광산구 첨단내촌로 102 (월계동, 첨단서라아파트)",1995-01-01,주택단지,민간,실외,미포함,2024-02-16
6082,첨단 3-5 호반리젠시빌326동놀이터,"광주광역시 광산구 첨단중앙로68번길 99 (산월동, 호반리젠시빌)",2003-01-01,주택단지,민간,실외,미포함,2024-02-16
6084,첨단부영6차 아파트 놀이터(1208동 옆),"광주광역시 광산구 산월로 64 (산월동, 부영사랑으로)",2006-11-21,놀이제공영업소,민간,실내,미포함,2024-02-16
6085,첨단부영6차 아파트 놀이터(1204동 옆),"광주광역시 광산구 산월로 64 (산월동, 부영사랑으로)",2006-11-21,놀이제공영업소,민간,실내,미포함,2024-02-16
6086,신가중흥2차-1,"광주광역시 광산구 목련로382번길 79 (신가동, 중흥아파트)",1998-03-10,주택단지,민간,실외,미포함,2024-02-16
6087,신가중흥2차-2,"광주광역시 광산구 목련로382번길 79 (신가동, 중흥아파트)",1998-03-10,주택단지,민간,실외,미포함,2024-02-16
6088,운남주공7단지아파트 701동옆놀이터,광주광역시 광산구 목련로153번길 56 (운남동) 운남주공7단지아파트,2001-11-02,어린이집,민간,실외,미포함,2024-02-16
6089,운남주공7단지아파트 707동앞놀이시설,광주광역시 광산구 목련로153번길 56 (운남동),2001-11-02,주택단지,민간,실내,미포함,2024-02-16
6090,신창부영2차-1,"광주광역시 광산구 신창로71번길 33 (신창동, 신창2차부영아파트)",2005-09-02,주택단지,민간,실외,포함,2024-02-16
6091,신창부영2차-2,"광주광역시 광산구 신창로71번길 33 (신창동, 신창2차부영아파트)",2005-09-02,주택단지,민간,실외,미포함,2024-02-16
6092,신창부영2차-3,"광주광역시 광산구 신창로71번길 33 (신창동, 신창2차부영아파트)",2005-09-02,주택단지,민간,실외,미포함,2024-02-16
6093,수완현진에버빌2단지-1 (207동앞),"광주광역시 광산구 풍영로169번길 46 (장덕동, 광주 수완 현진에버빌 2단지)",2009-01-01,주택단지,민간,실외,미포함,2024-02-16
